,signal_type,region,region_name,endpoint,model,data_start,train_start,train_end,type
465,co2_moer,SPP_KANSAS,SPP Kansas,v3/forecast,2023-03-01,2023-01-01,2021-01-01,2023-01-01,
466,co2_moer,SPP_KC,SPP Kansas City,v3/historical,2022-10-01,2020-01-01,2020-03-01,2022-03-01,binned_regression
467,co2_moer,SPP_KC,SPP Kansas City,v3/historical,2023-03-01,2021-08-01,2021-01-01,2023-03-01,binned_regression
468,co2_moer,SPP_KC,SPP Kansas City,v3/forecast,2022-10-01,2021-12-31,2020-01-01,2021-12-31,
469,co2_moer,SPP_KC,SPP Kansas City,v3/forecast,2023-03-01,2023-01-01,2021-01-01,2023-01-01,
470,co2_moer,SPP_MEMPHIS,SPP Memphis,v3/historical,2022-10-01,2020-01-01,2020-03-01,2022-03-01,binned_regression
471,co2_moer,SPP_MEMPHIS,SPP Memphis,v3/historical,2023-03-01,2021-08-01,2021-01-01,2023-03-01,binned_regression
472,co2_moer,SPP_MEMPHIS,SPP Memphis,v3/forecast,2022-10-01,2021-12-31,2020-01-01,2021-12-31,
473,co2_moer,SPP_MEMPHIS,SPP Memphis,v3/forecast,2023-03-01,2023-01-01,2021-01-01,2023-01-01,
474,co2_moer,SPP_ND,SPP North Dakota,v3/historical,2022-10-01,2020-01-01,2020-03-01,2022-03-01,binned_regression
475,co2_moer,SPP_ND,SPP North Dakota,v3/historical,2023-03-01,2021-08-01,2021-01-01,2023-03-01,binned_regression
476,co2_moer,SPP_ND,SPP North Dakota,v3/forecast,2022-10-01,2021-12-31,2020-01-01,2021-12-31,
477,co2_moer,SPP_ND,SPP North Dakota,v3/forecast,2023-03-01,2023-01-01,2021-01-01,2023-01-01,
478,co2_moer,SPP_OKCTY,SPP Oklahoma City,v3/historical,2022-10-01,2020-01-01,2020-03-01,2022-03-01,binned_regression
479,co2_moer,SPP_OKCTY,SPP Oklahoma City,v3/historical,2023-03-01,2021-08-01,2021-01-01,2023-03-01,binned_regression
480,co2_moer,SPP_OKCTY,SPP Oklahoma City,v3/forecast,2022-10-01,2021-12-31,2020-01-01,2021-12-31,
481,co2_moer,SPP_OKCTY,SPP Oklahoma City,v3/forecast,2023-03-01,2023-01-01,2021-01-01,2023-01-01,
482,co2_moer,SPP_SIOUX,SPP Sioux Falls ,v3/historical,2022-10-01,2020-01-01,2020-03-01,2022-03-01,binned_regression
483,co2_moer,SPP_SIOUX,SPP Sioux Falls ,v3/historical,2023-03-01,2021-08-01,2021-01-01,2023-03-01,binned_regression
484,co2_moer,SPP_SIOUX,SPP Sioux Falls ,v3/forecast,2022-10-01,2021-12-31,2020-01-01,2021-12-31,
485,co2_moer,SPP_SIOUX,SPP Sioux Falls ,v3/forecast,2023-03-01,2023-01-01,2021-01-01,2023-01-01,
486,co2_moer,SPP_SPRINGFIELD,SPP Springfield,v3/historical,2022-10-01,2020-01-01,2020-03-01,2022-03-01,binned_regression
487,co2_moer,SPP_SPRINGFIELD,SPP Springfield,v3/historical,2023-03-01,2021-08-01,2021-01-01,2023-03-01,binned_regression
488,co2_moer,SPP_SPRINGFIELD,SPP Springfield,v3/forecast,2022-10-01,2021-12-31,2020-01-01,2021-12-31,
489,co2_moer,SPP_SPRINGFIELD,SPP Springfield,v3/forecast,2023-03-01,2023-01-01,2021-01-01,2023-01-01,
490,co2_moer,SPP_SWOK,SPP Southwest Oklahoma,v3/historical,2022-10-01,2020-01-01,2020-03-01,2022-03-01,binned_regression
491,co2_moer,SPP_SWOK,SPP Southwest Oklahoma,v3/historical,2023-03-01,2021-08-01,2021-01-01,2023-03-01,binned_regression
492,co2_moer,SPP_SWOK,SPP Southwest Oklahoma,v3/forecast,2022-10-01,2021-12-31,2020-01-01,2021-12-31,
493,co2_moer,SPP_SWOK,SPP Southwest Oklahoma,v3/forecast,2023-03-01,2023-01-01,2021-01-01,2023-01-01,
494,co2_moer,SPP_TX,SPP North Texas,v3/historical,2022-10-01,2020-01-01,2020-03-01,2022-03-01,binned_regression
495,co2_moer,SPP_TX,SPP North Texas,v3/historical,2023-03-01,2021-08-01,2021-01-01,2023-03-01,binned_regression
496,co2_moer,SPP_TX,SPP North Texas,v3/forecast,2022-10-01,2021-12-31,2020-01-01,2021-12-31,
497,co2_moer,SPP_TX,SPP North Texas,v3/forecast,2023-03-01,2023-01-01,2021-01-01,2023-01-01,
498,co2_moer,SPP_WESTNE,SPP Western Nebraska,v3/historical,2022-10-01,2020-01-01,2020-03-01,2022-03-01,binned_regression
499,co2_moer,SPP_WESTNE,SPP Western Nebraska,v3/historical,2023-03-01,2021-08-01,2021-01-01,2023-03-01,binned_regression
500,co2_moer,SPP_WESTNE,SPP Western Nebraska,v3/forecast,2022-10-01,2021-12-31,2020-01-01,2021-12-31,
501,co2_moer,SPP_WESTNE,SPP Western Nebraska,v3/forecast,2023-03-01,2023-01-01,2021-01-01,2023-01-01,
502,co2_moer,SRP,Salt River Project,v3/historical,2022-10-01,2020-01-01,2020-03-01,2022-03-01,binned_regression
503,co2_moer,SRP,Salt River Project,v3/forecast,2022-10-01,2021-12-31,2020-01-01,2021-12-31,
504,co2_moer,TAL,Tallahassee FL (City of),v3/historical,2022-10-01,2020-01-01,2020-03-01,2022-03-01,binned_regression
505,co2_moer,TAL,Tallahassee FL (City of),v3/forecast,2022-10-01,2021-12-31,2020-01-01,2021-12-31,
506,co2_moer,TEC,Tampa Electric Co,v3/historical,2022-10-01,2020-01-01,2020-03-01,2022-03-01,binned_regression
507,co2_moer,TEC,Tampa Electric Co,v3/forecast,2022-10-01,2021-12-31,2020-01-01,2021-12-31,
508,co2_moer,TEPC,Tucson Electric Power Co,v3/historical,2022-10-01,2020-01-01,2020-03-01,2022-03-01,binned_regression
509,co2_moer,TEPC,Tucson Electric Power Co,v3/forecast,2022-10-01,2021-12-31,2020-01-01,2021-12-31,
510,co2_moer,TID,Turlock Irrigation District,v3/historical,2022-10-01,2020-01-01,2020-03-01,2022-03-01,binned_regression
511,co2_moer,TID,Turlock Irrigation District,v3/forecast,2022-10-01,2021-12-31,2020-01-01,2021-12-31,
512,co2_moer,TPWR,Tacoma Power,v3/historical,2022-10-01,2020-01-01,2020-03-01,2022-03-01,binned_regression
513,co2_moer,TPWR,Tacoma Power,v3/forecast,2022-10-01,2021-12-31,2020-01-01,2021-12-31,
516,co2_moer,TVA,Tennessee Valley Authority,v3/historical,2022-10-01,2020-01-01,2020-03-01,2022-03-01,binned_regression
517,co2_moer,TVA,Tennessee Valley Authority,v3/forecast,2022-10-01,2021-12-31,2020-01-01,2021-12-31,
520,co2_moer,WACM,WAPA Rocky Mountain Region,v3/historical,2022-10-01,2020-01-01,2020-03-01,2022-03-01,binned_regression
521,co2_moer,WACM,WAPA Rocky Mountain Region,v3/forecast,2022-10-01,2021-12-31,2020-01-01,2021-12-31,
522,co2_moer,WALC,WAPA Desert Southwest Region,v3/historical,2022-10-01,2020-01-01,2020-03-01,2022-03-01,binned_regression
523,co2_moer,WALC,WAPA Desert Southwest Region,v3/forecast,2022-10-01,2021-12-31,2020-01-01,2021-12-31,
524,co2_moer,WAUW,WAPA Upper Great Plains West,v3/historical,2022-10-01,2020-01-01,2020-03-01,2022-03-01,binned_regression
525,co2_moer,WAUW,WAPA Upper Great Plains West,v3/forecast,2022-10-01,2021-12-31,2020-01-01,2021-12-31,
528,health_damage,CAISO_NORTH,California ISO Northern,v3/historical,2022-10-01,2020-01-01,2020-03-01,2022-03-01,binned_regression
529,health_damage,CAISO_NORTH,California ISO Northern,v3/forecast,2022-06-03,2019-12-31,2019-01-01,2019-12-31,
530,health_damage,CAISO_NORTH,California ISO Northern,v3/forecast,2022-10-01,2021-12-31,2020-01-01,2021-12-31,
